Subject,Experment,session,From (s),To (s),From (n),To (n)
1,1,1,45,165,9000,33000
,,2,24,144,4800,28800
,,3,12,132,2400,26400
,2,1,15,135,3000,27000
,,2,30,150,6000,30000
,,3,20,140,4000,28000
,3,1,61,181,12200,36200
,,2,80,200,16000,40000
,,3,48,168,9600,33600
,4,1,40,160,8000,32000
,,2,42,162,8400,32400
,,3,55,175,11000,35000
,5,1,66,186,13200,37200
,6,1,66,186,13200,37200
,7,1,8,128,1600,25600
,8,1,22,142,4400,28400
,9,1,55,175,11000,35000
,10,1,100,220,20000,44000
2,1,1,80,200,16000,40000
,,2,30,150,6000,30000
,,3,10,130,2000,26000
,2,1,10,130,2000,26000
,,2,15,135,3000,27000
,,3,15,135,3000,27000
,3,1,55,175,11000,35000
,,2,15,135,3000,27000
,,3,55,175,11000,35000
,4,1,60,180,12000,36000
,,2,14,134,2800,26800
,,3,15,135,3000,27000
,5,1,55,175,11000,35000
,6,1,60,180,12000,36000
,7,1,30,150,6000,30000
,8,1,30,150,6000,30000
,9,1,77,197,15400,39400
,10,1,77,197,15400,39400
3,1,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,2,1,24,144,4800,28800
,,2,36,156,7200,31200
,,3,36,156,7200,31200
,3,1,7,127,1400,25400
,,2,15,135,3000,27000
,,3,10,130,2000,26000
,4,1,15,135,3000,27000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,5,1,30,150,6000,30000
,6,1,81,201,16200,40200
,7,1,30,150,6000,30000
,8,1,35,155,7000,31000
,9,1,10,130,2000,26000
,10,1,40,160,8000,32000
4,1,1,15,135,3000,27000
,,2,10,130,2000,26000
,,3,12,132,2400,26400
,2,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,3,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,4,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,5,1,10,130,2000,26000
,6,1,10,130,2000,26000
,7,1,10,130,2000,26000
,8,1,10,130,2000,26000
,9,1,10,130,2000,26000
,10,1,10,130,2000,26000
5,1,1,10,130,2000,26000
,,2,15,135,3000,27000
,,3,65,185,13000,37000
,2,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,3,1,10,130,2000,26000
,,2,35,155,7000,31000
,,3,10,130,2000,26000
,4,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,5,1,30,150,6000,30000
,6,1,10,130,2000,26000
,7,1,10,130,2000,26000
,8,1,50,170,10000,34000
,9,1,10,130,2000,26000
,10,1,10,130,2000,26000
6,1,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,2,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,3,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,4,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,5,1,10,130,2000,26000
,6,1,10,130,2000,26000
,7,1,10,130,2000,26000
,8,1,40,160,8000,32000
,9,1,10,130,2000,26000
,10,1,10,130,2000,26000
7,1,1,15,135,3000,27000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,2,1,50,170,10000,34000
,,2,65,185,13000,37000
,,3,30,150,6000,30000
,3,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,25,145,5000,29000
,4,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,30,150,6000,30000
,5,1,10,130,2000,26000
,6,1,45,165,9000,33000
,7,1,10,130,2000,26000
,8,1,10,130,2000,26000
,9,1,10,130,2000,26000
,10,1,10,130,2000,26000
8,1,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,2,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,3,1,10,130,2000,26000
,,2,70,190,14000,38000
,,3,10,130,2000,26000
,4,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,5,1,10,130,2000,26000
,6,1,10,130,2000,26000
,7,1,10,130,2000,26000
,8,1,10,130,2000,26000
,9,1,10,130,2000,26000
,10,1,10,130,2000,26000
9,1,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,2,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,3,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,4,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,5,1,8,128,1600,25600
,6,1,10,130,2000,26000
,7,1,10,130,2000,26000
,8,1,10,130,2000,26000
,9,1,10,130,2000,26000
,10,1,10,130,2000,26000
10,1,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,2,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,5,125,1000,25000
,3,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,4,1,12,132,2400,26400
,,2,30,150,6000,30000
,,3,10,130,2000,26000
,5,1,10,130,2000,26000
,6,1,10,130,2000,26000
,7,1,40,160,8000,32000
,8,1,10,130,2000,26000
,9,1,10,130,2000,26000
,10,1,10,130,2000,26000
11,1,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,2,1,10,130,2000,26000
,,2,65,185,13000,37000
,,3,10,130,2000,26000
,3,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,4,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,5,1,10,130,2000,26000
,6,1,10,130,2000,26000
,7,1,120,240,24000,48000
,8,1,10,130,2000,26000
,9,1,15,135,3000,27000
,10,1,10,130,2000,26000
12,1,1,10,130,2000,26000
,,2,52,172,10400,34400
,,3,10,130,2000,26000
,2,1,20,140,4000,28000
,,2,30,150,6000,30000
,,3,20,140,4000,28000
,3,1,10,130,2000,26000
,,2,55,175,11000,35000
,,3,40,160,8000,32000
,4,1,30,150,6000,30000
,,2,10,130,2000,26000
,,3,30,150,6000,30000
,5,1,30,150,6000,30000
,6,1,3,123,600,24600
,7,1,30,150,6000,30000
,8,1,30,150,6000,30000
,9,1,30,150,6000,30000
,10,1,24,144,4800,28800
13,1,1,30,150,6000,30000
,,2,10,130,2000,26000
,,3,20,140,4000,28000
,2,1,10,130,2000,26000
,,2,20,140,4000,28000
,,3,40,160,8000,32000
,3,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,4,1,56,176,11200,35200
,,2,73,193,14600,38600
,,3,10,130,2000,26000
,5,1,60,180,12000,36000
,6,1,10,130,2000,26000
,7,1,8,128,1600,25600
,8,1,15,135,3000,27000
,9,1,30,150,6000,30000
,10,1,20,140,4000,28000
14,1,1,30,150,6000,30000
,,2,22,142,4400,28400
,,3,44,164,8800,32800
,2,1,46,166,9200,33200
,,2,12,132,2400,26400
,,3,5,125,1000,25000
,3,1,92,212,18400,42400
,,2,20,140,4000,28000
,,3,10,130,2000,26000
,4,1,20,140,4000,28000
,,2,22,142,4400,28400
,,3,10,130,2000,26000
,5,1,102,222,20400,44400
,6,1,10,130,2000,26000
,7,1,5,125,1000,25000
,8,1,10,130,2000,26000
,9,1,36,156,7200,31200
,10,1,60,180,12000,36000
15,1,1,12,132,2400,26400
,,2,30,150,6000,30000
,,3,10,130,2000,26000
,2,1,35,155,7000,31000
,,2,50,170,10000,34000
,,3,10,130,2000,26000
,3,1,5,125,1000,25000
,,2,20,140,4000,28000
,,3,60,180,12000,36000
,4,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,30,150,6000,30000
,5,1,10,130,2000,26000
,6,1,10,130,2000,26000
,7,1,90,210,18000,42000
,8,1,40,160,8000,32000
,9,1,10,130,2000,26000
,10,1,10,130,2000,26000
16,1,1,50,170,10000,34000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,2,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,15,135,3000,27000
,3,1,15,135,3000,27000
,,2,30,150,6000,30000
,,3,10,130,2000,26000
,4,1,45,165,9000,33000
,,2,10,130,2000,26000
,,3,55,175,11000,35000
,5,1,10,130,2000,26000
,6,1,10,130,2000,26000
,7,1,15,135,3000,27000
,8,1,10,130,2000,26000
,9,1,15,135,3000,27000
,10,1,10,130,2000,26000
17,1,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,5,125,1000,25000
,2,1,140,260,28000,52000
,,2,40,160,8000,32000
,,3,10,130,2000,26000
,3,1,10,130,2000,26000
,,2,2,122,400,24400
,,3,10,130,2000,26000
,4,1,10,130,2000,26000
,,2,80,200,16000,40000
,,3,10,130,2000,26000
,5,1,10,130,2000,26000
,6,1,10,130,2000,26000
,7,1,10,130,2000,26000
,8,1,10,130,2000,26000
,9,1,10,130,2000,26000
,10,1,10,130,2000,26000
18,1,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,2,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,3,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,4,1,2,122,400,24400
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,5,1,10,130,2000,26000
,6,1,35,155,7000,31000
,7,1,10,130,2000,26000
,8,1,10,130,2000,26000
,9,1,10,130,2000,26000
,10,1,10,130,2000,26000
19,1,1,3,123,600,24600
,,2,10,130,2000,26000
,,3,15,135,3000,27000
,2,1,15,135,3000,27000
,,2,5,125,1000,25000
,,3,5,125,1000,25000
,3,1,5,125,1000,25000
,,2,5,125,1000,25000
,,3,15,135,3000,27000
,4,1,5,125,1000,25000
,,2,5,125,1000,25000
,,3,5,125,1000,25000
,5,1,5,125,1000,25000
,6,1,5,125,1000,25000
,7,1,5,125,1000,25000
,8,1,5,125,1000,25000
,9,1,5,125,1000,25000
,10,1,5,125,1000,25000
20,1,1,5,125,1000,25000
,,2,60,180,12000,36000
,,3,5,125,1000,25000
,2,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,3,1,10,130,2000,26000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,4,1,45,165,9000,33000
,,2,10,130,2000,26000
,,3,10,130,2000,26000
,5,1,10,130,2000,26000
,6,1,5,125,1000,25000
,7,1,10,130,2000,26000
,8,1,10,130,2000,26000
,9,1,10,130,2000,26000
,10,1,10,130,2000,26000
